state,AGRICULTURE AND FARMERS WELFARE,ATOMIC ENERGY,AYUSH,CHEMICALS AND FERTILIZERS,CIVIL AVIATION,COAL,COMMERCE AND INDUSTRY,COMMUNICATION,COMMUNICATIONS,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",COOPERATION,CORPORATE AFFAIRS,CULTURE,DEFENCE,DEVELOPMENT OF NORTH EASTERN REGION,EARTH SCIENCES,EDUCATION,ELECTRONICS AND INFORMATION TECHNOLOGY,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",EXTERNAL AFFAIRS,FINANCE,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",FOOD PROCESSING INDUSTRIES,HEALTH AND FAMILY WELFARE,HEAVY INDUSTRIES,HOME AFFAIRS,HOUSING AND URBAN AFFAIRS,INFORMATION AND BROADCASTING,JAL SHAKTI,LABOUR AND EMPLOYMENT,LAW & JUSTICE,LAW AND JUSTICE,"MICRO, SMALL AND MEDIUM ENTERPRISES",MINES,MINORITY AFFAIRS,NEW AND RENEWABLE ENERGY,PANCHAYATI RAJ,PARLIAMENTARY AFFAIRS,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS","PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",PETROLEUM AND NATURAL GAS,PLANNING,"PORTS, SHIPPING AND WATERWAYS",POWER,PRIME MINISTER,RAILWAYS,ROAD TRANSPORT & HIGH WAYS,ROAD TRANSPORT AND HIGHWAYS,RURAL DEVELOPMENT,SCIENCE AND TECHNOLOGY,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,SOCIAL JUSTICE AND EMPOWERMENT,SPACE,STATISTICS AND PROGRAMME IMPLEMENTATION,STEEL,TEXTILES,TOURISM,TRIBAL AFFAIRS,WOMEN AND CHILD DEVELOPMENT,YOUTH AFFAIRS AND SPORTS
Punjab,109,9,33,39,96,16,46,11,39,65,22,22,23,7,0,11,111,25,64,55,74,16,35,147,15,33,69,13,89,48,21,11,33,4,15,19,20,1,2,2,28,7,10,28,0,101,41,25,38,11,28,25,6,8,12,26,30,8,43,55
Gujarat,83,31,54,50,85,26,34,15,28,50,44,38,48,1,4,28,69,30,74,36,73,41,29,126,24,40,53,22,72,46,10,20,47,21,16,50,29,10,3,6,49,7,50,40,0,94,42,33,48,29,38,38,17,12,8,22,44,35,37,39
Haryana,65,13,26,44,33,5,29,6,21,46,22,20,16,6,5,11,43,31,29,16,35,22,26,66,11,13,45,5,44,23,8,5,23,12,8,27,14,4,1,6,15,6,9,16,0,36,19,20,20,8,17,19,9,10,2,13,18,1,27,27
Jammu and Kashmir,11,2,6,4,6,3,5,1,4,2,3,1,7,3,0,2,19,4,7,7,9,5,3,18,4,8,10,6,13,4,1,0,4,3,7,5,0,1,0,1,0,0,0,14,0,15,13,4,6,1,5,9,1,0,0,1,11,5,3,6
Ladakh,5,1,2,1,4,0,2,3,1,2,1,1,1,0,0,1,3,0,2,0,2,1,1,5,1,1,0,1,1,1,0,1,3,0,1,0,1,0,1,0,0,0,0,1,0,2,0,2,2,1,0,1,2,0,0,3,3,3,1,4
Uttarakhand,17,3,31,6,20,4,5,0,9,7,13,3,8,2,0,10,19,7,16,5,19,6,2,18,4,11,8,6,22,11,5,5,9,6,2,14,8,0,1,1,8,4,3,10,0,22,14,8,12,4,9,9,4,3,4,3,18,3,11,9
Chandigarh,1,0,1,0,6,0,4,2,0,0,0,2,5,0,0,0,1,12,5,10,13,0,0,6,0,18,14,0,1,3,0,3,3,0,0,4,0,0,0,0,0,1,1,1,0,4,0,1,0,1,0,2,0,0,0,0,1,0,0,0
Lakshadweep,1,0,1,0,2,0,1,2,1,6,0,0,0,0,0,1,7,1,3,0,2,6,1,9,0,8,2,2,1,1,0,0,2,0,1,2,1,0,0,0,6,0,8,3,0,1,0,2,1,1,1,3,0,1,0,0,2,1,2,3
Puducherry,12,1,6,4,10,3,2,0,0,5,3,2,7,1,0,2,8,3,6,0,7,5,3,14,0,3,10,0,6,3,2,1,6,0,0,4,2,0,0,0,4,0,2,2,0,11,7,3,5,7,4,6,1,3,0,4,8,2,4,4
Manipur,6,0,1,0,4,0,1,0,0,3,0,0,2,0,2,0,3,2,2,1,2,2,0,8,0,1,4,0,3,1,0,0,2,1,0,2,2,0,0,0,2,0,0,2,0,1,0,1,1,0,2,1,0,1,0,1,1,5,4,6
Goa,4,1,5,3,13,1,6,2,7,10,6,4,10,0,0,1,8,5,12,4,11,8,7,1,2,2,12,0,12,4,2,1,4,2,3,5,4,1,0,2,4,0,13,1,0,9,5,8,9,4,5,2,0,1,0,0,3,4,1,17
Mizoram,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,1,0,0,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0
Andaman and Nicobar Islands,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,7,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2,0,2,0,0,1,2,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,3,1,0,1,0,0,0,1,0,1,0,1
Unknown,5,2,2,0,4,2,3,5,0,0,0,1,3,2,3,1,5,1,6,1,3,1,5,12,0,2,4,2,5,5,0,1,3,3,3,1,2,0,1,0,2,0,2,4,0,3,0,5,4,0,2,7,0,0,1,1,3,4,4,1
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,1,1,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,0,1,0,0,0,2,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,3
Nominated,28,6,17,15,19,2,15,0,1,14,12,3,37,3,2,5,40,13,19,16,20,15,5,32,3,9,24,7,26,6,9,0,11,1,14,15,3,0,0,0,12,3,5,5,0,13,4,0,13,9,6,12,2,5,2,6,13,8,10,11
