node,type,label,pagerank
topic:unclaimed,topic,unclaimed,0.000414
topic:public sector,topic,public sector,0.000414
topic:rate,topic,rate,0.000414
topic:plan,topic,plan,0.000411
topic:capacity,topic,capacity,0.000411
topic:bijnor,topic,bijnor,0.000405
topic:processing,topic,processing,0.000405
topic:thermal power,topic,thermal power,0.000399
topic:rules,topic,rules,0.000399
topic:crude oil,topic,crude oil,0.000395
topic:among,topic,among,0.000395
ministry:PRIME MINISTER,ministry,PRIME MINISTER,0.000375
