party,ministry,questions,ministry_total,party_total,lift
TDP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",80,1021,2178,2.136
BRS,COAL,7,661,296,2.124
SKM,WOMEN AND CHILD DEVELOPMENT,2,1271,44,2.124
DMDK,TOURISM,1,1076,26,2.123
IUML,EXTERNAL AFFAIRS,25,1026,682,2.122
MDMK,ROAD TRANSPORT AND HIGHWAYS,11,2061,150,2.113
AITC,INFORMATION AND BROADCASTING,42,465,2544,2.108
CPI(M),EXTERNAL AFFAIRS,40,1026,1102,2.101
Unknown,TRIBAL AFFAIRS,4,796,142,2.101
TDP,"MICRO, SMALL AND MEDIUM ENTERPRISES",87,1131,2178,2.097
MNF,HEALTH AND FAMILY WELFARE,1,3550,8,2.091
SP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",25,305,2331,2.088
CPI(M),FINANCE,87,2253,1102,2.081
CPI(ML)(L),LABOUR AND EMPLOYMENT,11,1570,200,2.08
VCK,MINORITY AFFAIRS,4,535,215,2.065
RSP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",5,1332,108,2.064
SP,PLANNING,19,235,2331,2.06
MDMK,FOOD PROCESSING INDUSTRIES,4,770,150,2.056
RLD,CHEMICALS AND FERTILIZERS,5,1235,117,2.055
KC(M),MINES,2,429,135,2.051
VCK,HEAVY INDUSTRIES,3,406,215,2.041
DMDK,COMMUNICATIONS,1,1120,26,2.039
ZPM,HOUSING AND URBAN AFFAIRS,1,1823,16,2.036
RLD,JAL SHAKTI,8,1997,117,2.033
AIMIM,EXTERNAL AFFAIRS,4,1026,114,2.031
NCP,LABOUR AND EMPLOYMENT,11,1570,205,2.029
CPI(ML)(L),EXTERNAL AFFAIRS,7,1026,200,2.026
SHS(UBT),EXTERNAL AFFAIRS,24,1026,686,2.025
NCP,PANCHAYATI RAJ,4,573,205,2.022
DMDK,"MICRO, SMALL AND MEDIUM ENTERPRISES",1,1131,26,2.019
Unknown,POWER,4,830,142,2.015
ASP (KR),RURAL DEVELOPMENT,4,1389,85,2.012
DMDK,PETROLEUM AND NATURAL GAS,1,1138,26,2.007
BAP,MINES,2,429,138,2.006
NCP(SP),AYUSH,27,1138,704,2.001
UPPL,JAL SHAKTI,8,1997,119,1.999
AIMIM,LABOUR AND EMPLOYMENT,6,1570,114,1.991
SAD,AGRICULTURE AND FARMERS WELFARE,8,2754,87,1.983
JD(S),JAL SHAKTI,2,1997,30,1.982
RLD,FOOD PROCESSING INDUSTRIES,3,770,117,1.977
KEC,PETROLEUM AND NATURAL GAS,2,1138,53,1.969
