party,ministry,questions,ministry_total,party_total,lift
SHS(UBT),INFORMATION AND BROADCASTING,6,465,686,1.117
CPI(ML)(L),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",5,1332,200,1.115
JD(U),FINANCE,43,2253,1018,1.113
DMK,LABOUR AND EMPLOYMENT,104,1570,3537,1.112
NCP,HOUSING AND URBAN AFFAIRS,7,1823,205,1.112
AIADMK,JAL SHAKTI,26,1997,697,1.109
Unknown,"MICRO, SMALL AND MEDIUM ENTERPRISES",3,1131,142,1.109
SS,AYUSH,24,1138,1132,1.106
NCP(SP),RAILWAYS,38,2900,704,1.105
IUML,CIVIL AVIATION,27,2129,682,1.104
JMM,EDUCATION,10,2802,192,1.104
MDMK,TOURISM,3,1076,150,1.104
SP,LABOUR AND EMPLOYMENT,68,1570,2331,1.103
UPPL,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",4,1809,119,1.103
JSP,ELECTRONICS AND INFORMATION TECHNOLOGY,4,971,222,1.102
INC,TRIBAL AFFAIRS,165,796,11184,1.101
AITC,EDUCATION,132,2802,2544,1.1
NCP,RAILWAYS,11,2900,205,1.099
KC(M),EDUCATION,7,2802,135,1.099
INC,FINANCE,466,2253,11184,1.098
JSP,COOPERATION,3,731,222,1.098
J&KNC,HOUSING AND URBAN AFFAIRS,3,1823,89,1.098
KEC,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1,1021,53,1.097
LJSP(RV),LABOUR AND EMPLOYMENT,8,1570,276,1.096
NCP(SP),FOOD PROCESSING INDUSTRIES,10,770,704,1.095
UPPL,HOUSING AND URBAN AFFAIRS,4,1823,119,1.095
SKM,CHEMICALS AND FERTILIZERS,1,1235,44,1.093
DMK,PETROLEUM AND NATURAL GAS,74,1138,3537,1.092
RJD,HOUSING AND URBAN AFFAIRS,18,1823,537,1.092
KEC,EXTERNAL AFFAIRS,1,1026,53,1.092
TDP,EDUCATION,112,2802,2178,1.09
IND.,CHEMICALS AND FERTILIZERS,22,1235,971,1.089
DMK,FINANCE,146,2253,3537,1.088
YSRCP,ROAD TRANSPORT AND HIGHWAYS,48,2061,1271,1.088
Unknown,"PORTS, SHIPPING AND WATERWAYS",2,769,142,1.088
DMK,HOUSING AND URBAN AFFAIRS,118,1823,3537,1.087
KEC,ROAD TRANSPORT AND HIGHWAYS,2,2061,53,1.087
JD(S),HOUSING AND URBAN AFFAIRS,1,1823,30,1.086
AITC,COMMERCE AND INDUSTRY,63,1356,2544,1.084
NCP(SP),EDUCATION,36,2802,704,1.084
AIADMK,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",23,1809,697,1.083
DMK,DEFENCE,12,186,3537,1.083
JD(U),JAL SHAKTI,37,1997,1018,1.081
RLM,LABOUR AND EMPLOYMENT,1,1570,35,1.081
JD(U),AGRICULTURE AND FARMERS WELFARE,51,2754,1018,1.08
AIADMK,HEALTH AND FAMILY WELFARE,45,3550,697,1.08
TDP,MINES,17,429,2178,1.08
IUML,SOCIAL JUSTICE AND EMPOWERMENT,13,1048,682,1.08
RLP,PETROLEUM AND NATURAL GAS,3,1138,145,1.08
RLP,AYUSH,3,1138,145,1.08
INC,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",62,305,11184,1.079
CPI(ML)(L),AGRICULTURE AND FARMERS WELFARE,10,2754,200,1.078
SS,COMMUNICATIONS,23,1120,1132,1.077
DMK,RURAL DEVELOPMENT,89,1389,3537,1.076
NOM.,COMMERCE AND INDUSTRY,7,1356,285,1.076
VCK,FOOD PROCESSING INDUSTRIES,3,770,215,1.076
MDMK,CORPORATE AFFAIRS,2,737,150,1.074
SAD,WOMEN AND CHILD DEVELOPMENT,2,1271,87,1.074
DMDK,CIVIL AVIATION,1,2129,26,1.073
AITC,HEALTH AND FAMILY WELFARE,163,3550,2544,1.072
AAP,HOUSING AND URBAN AFFAIRS,26,1823,790,1.072
RSP,EXTERNAL AFFAIRS,2,1026,108,1.072
BJP,PLANNING,97,235,22881,1.071
NCP(SP),YOUTH AFFAIRS AND SPORTS,13,1024,704,1.071
INC,JAL SHAKTI,402,1997,11184,1.069
CPI(ML)(L),RURAL DEVELOPMENT,5,1389,200,1.069
NCP,COMMERCE AND INDUSTRY,5,1356,205,1.068
DMK,MINORITY AFFAIRS,34,535,3537,1.067
JMM,RAILWAYS,10,2900,192,1.066
RLP,FOOD PROCESSING INDUSTRIES,2,770,145,1.064
JD(U),"PORTS, SHIPPING AND WATERWAYS",14,769,1018,1.062
INC,HOME AFFAIRS,210,1051,11184,1.061
BJD,"PORTS, SHIPPING AND WATERWAYS",14,769,1019,1.061
YSRCP,PANCHAYATI RAJ,13,573,1271,1.06
JD(U),COAL,12,661,1018,1.059
CPI(M),COMMUNICATIONS,22,1120,1102,1.058
SHS(UBT),CORPORATE AFFAIRS,9,737,686,1.057
IUML,ROAD TRANSPORT AND HIGHWAYS,25,2061,682,1.056
NOM.,HEALTH AND FAMILY WELFARE,18,3550,285,1.056
SP,STATISTICS AND PROGRAMME IMPLEMENTATION,13,314,2331,1.055
YSRCP,CIVIL AVIATION,48,2129,1271,1.053
INC,LABOUR AND EMPLOYMENT,311,1570,11184,1.052
AITC,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",46,1021,2544,1.052
JSP,WOMEN AND CHILD DEVELOPMENT,5,1271,222,1.052
SS,TEXTILES,14,699,1132,1.051
BJP,COMMUNICATIONS,453,1120,22881,1.05
JD(U),RURAL DEVELOPMENT,25,1389,1018,1.05
BJD,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",24,1332,1019,1.05
RLD,RAILWAYS,6,2900,117,1.05
INC,AGRICULTURE AND FARMERS WELFARE,544,2754,11184,1.049
INC,WOMEN AND CHILD DEVELOPMENT,251,1271,11184,1.049
RSP,SOCIAL JUSTICE AND EMPOWERMENT,2,1048,108,1.049
JD(U),STEEL,6,334,1018,1.048
TDP,HOUSING AND URBAN AFFAIRS,70,1823,2178,1.047
CPI(M),RURAL DEVELOPMENT,27,1389,1102,1.047
Unknown,JAL SHAKTI,5,1997,142,1.047
IUML,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",16,1332,682,1.046
JSP,YOUTH AFFAIRS AND SPORTS,4,1024,222,1.045
BJP,TRIBAL AFFAIRS,320,796,22881,1.043
BJP,"PORTS, SHIPPING AND WATERWAYS",309,769,22881,1.043
CPI,POWER,6,830,412,1.042
AGP,EDUCATION,3,2802,61,1.042
JSP,FOOD PROCESSING INDUSTRIES,3,770,222,1.042
IND.,PLANNING,4,235,971,1.041
VCK,TRIBAL AFFAIRS,3,796,215,1.041
KEC,TOURISM,1,1076,53,1.041
RJD,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",17,1809,537,1.039
NCP(SP),HEAVY INDUSTRIES,5,406,704,1.039
INC,EDUCATION,548,2802,11184,1.038
SP,CORPORATE AFFAIRS,30,737,2331,1.037
BAP,POWER,2,830,138,1.037
DMK,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",63,1021,3537,1.036
SS,HEALTH AND FAMILY WELFARE,70,3550,1132,1.034
IND.,"PORTS, SHIPPING AND WATERWAYS",13,769,971,1.034
RJD,MINORITY AFFAIRS,5,535,537,1.033
RJD,FINANCE,21,2253,537,1.031
BJP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",528,1332,22881,1.029
JD(U),CORPORATE AFFAIRS,13,737,1018,1.029
RLP,TRIBAL AFFAIRS,2,796,145,1.029
BJP,HOUSING AND URBAN AFFAIRS,722,1823,22881,1.028
INC,COAL,128,661,11184,1.028
BJD,CORPORATE AFFAIRS,13,737,1019,1.028
AAP,COOPERATION,10,731,790,1.028
RSP,MINORITY AFFAIRS,1,535,108,1.028
INC,CIVIL AVIATION,412,2129,11184,1.027
INC,MINES,83,429,11184,1.027
YSRCP,AYUSH,25,1138,1271,1.026
TDP,EARTH SCIENCES,16,425,2178,1.026
AITC,LAW AND JUSTICE,40,911,2544,1.025
RLP,JAL SHAKTI,5,1997,145,1.025
IUML,EARTH SCIENCES,5,425,682,1.024
TDP,HEALTH AND FAMILY WELFARE,133,3550,2178,1.021
NCP(SP),COAL,8,661,704,1.021
CPI(M),ROAD TRANSPORT AND HIGHWAYS,39,2061,1102,1.02
IUML,YOUTH AFFAIRS AND SPORTS,12,1024,682,1.02
NCP,PETROLEUM AND NATURAL GAS,4,1138,205,1.018
SS,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",35,1809,1132,1.015
DMK,SCIENCE AND TECHNOLOGY,26,430,3537,1.015
IND.,YOUTH AFFAIRS AND SPORTS,17,1024,971,1.015
CPI,NEW AND RENEWABLE ENERGY,7,995,412,1.014
Unknown,ROAD TRANSPORT AND HIGHWAYS,5,2061,142,1.014
BJP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",119,305,22881,1.013
INC,EARTH SCIENCES,81,425,11184,1.012
LJSP(RV),EARTH SCIENCES,2,425,276,1.012
SS,POWER,16,830,1132,1.011
IUML,COMMUNICATIONS,13,1120,682,1.011
JMM,AGRICULTURE AND FARMERS WELFARE,9,2754,192,1.011
BJP,"MICRO, SMALL AND MEDIUM ENTERPRISES",440,1131,22881,1.01
AAP,AGRICULTURE AND FARMERS WELFARE,37,2754,790,1.01
IND.,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",22,1332,971,1.01
NCP(SP),STEEL,4,334,704,1.01
BJD,WOMEN AND CHILD DEVELOPMENT,22,1271,1019,1.009
RLP,HEAVY INDUSTRIES,1,406,145,1.009
SHS(UBT),SCIENCE AND TECHNOLOGY,5,430,686,1.007
AITC,RAILWAYS,125,2900,2544,1.006
CPI(M),LAW AND JUSTICE,17,911,1102,1.006
CPI,SCIENCE AND TECHNOLOGY,3,430,412,1.006
BJP,PETROLEUM AND NATURAL GAS,440,1138,22881,1.003
VCK,AGRICULTURE AND FARMERS WELFARE,10,2754,215,1.003
LJSP(RV),MINES,2,429,276,1.003
BJD,TEXTILES,12,699,1019,1.0
KEC,COMMUNICATIONS,1,1120,53,1.0
SHS(UBT),FINANCE,26,2253,686,0.999
IND.,TRIBAL AFFAIRS,13,796,971,0.999
ASP (KR),TEXTILES,1,699,85,0.999
DMK,HEALTH AND FAMILY WELFARE,211,3550,3537,0.998
AAP,COMMERCE AND INDUSTRY,18,1356,790,0.998
TDP,ATOMIC ENERGY,16,437,2178,0.998
VCK,POWER,3,830,215,0.998
KC(M),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,2,882,135,0.997
INC,ELECTRONICS AND INFORMATION TECHNOLOGY,182,971,11184,0.995
YSRCP,FINANCE,48,2253,1271,0.995
SKM,COMMERCE AND INDUSTRY,1,1356,44,0.995
SP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",52,1332,2331,0.994
VCK,RURAL DEVELOPMENT,5,1389,215,0.994
AIMIM,SOCIAL JUSTICE AND EMPOWERMENT,2,1048,114,0.994
BJP,JAL SHAKTI,764,1997,22881,0.993
AAP,EDUCATION,37,2802,790,0.993
CPI(M),COMMERCE AND INDUSTRY,25,1356,1102,0.993
INC,MINORITY AFFAIRS,100,535,11184,0.992
SS,EDUCATION,53,2802,1132,0.992
INC,LAW AND JUSTICE,170,911,11184,0.991
KC(M),HEALTH AND FAMILY WELFARE,8,3550,135,0.991
KEC,"MICRO, SMALL AND MEDIUM ENTERPRISES",1,1131,53,0.991
DMK,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,52,882,3537,0.99
JD(U),COMMUNICATIONS,19,1120,1018,0.99
INC,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",248,1332,11184,0.989
SHS(UBT),PETROLEUM AND NATURAL GAS,13,1138,686,0.989
TDP,LAW AND JUSTICE,33,911,2178,0.988
TDP,WOMEN AND CHILD DEVELOPMENT,46,1271,2178,0.987
JD(U),CIVIL AVIATION,36,2129,1018,0.986
YSRCP,PETROLEUM AND NATURAL GAS,24,1138,1271,0.985
RJD,CHEMICALS AND FERTILIZERS,11,1235,537,0.985
JMM,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,192,0.985
NOM.,AGRICULTURE AND FARMERS WELFARE,13,2754,285,0.984
Unknown,EARTH SCIENCES,1,425,142,0.984
DMK,EDUCATION,164,2802,3537,0.983
AAP,MINORITY AFFAIRS,7,535,790,0.983
SS,CULTURE,20,1069,1132,0.981
RSP,EDUCATION,5,2802,108,0.981
JSP,HEALTH AND FAMILY WELFARE,13,3550,222,0.98
IND.,ATOMIC ENERGY,7,437,971,0.98
JD(U),SPACE,4,238,1018,0.98
SKM,AGRICULTURE AND FARMERS WELFARE,2,2754,44,0.98
CPI(ML)(L),LAW AND JUSTICE,3,911,200,0.978
AGP,NEW AND RENEWABLE ENERGY,1,995,61,0.978
AITC,HEAVY INDUSTRIES,17,406,2544,0.977
CPI(ML)(L),HOUSING AND URBAN AFFAIRS,6,1823,200,0.977
VCK,"MICRO, SMALL AND MEDIUM ENTERPRISES",4,1131,215,0.977
SAD,TEXTILES,1,699,87,0.976
BJP,CHEMICALS AND FERTILIZERS,464,1235,22881,0.975
INC,PETROLEUM AND NATURAL GAS,209,1138,11184,0.975
AJSU,RAILWAYS,3,2900,63,0.975
AIMIM,CULTURE,2,1069,114,0.975
UPPL,YOUTH AFFAIRS AND SPORTS,2,1024,119,0.975
CPI,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",9,1332,412,0.974
CPI(ML)(L),"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1,305,200,0.973
SS,ELECTRONICS AND INFORMATION TECHNOLOGY,18,971,1132,0.972
RJD,PETROLEUM AND NATURAL GAS,10,1138,537,0.972
RSP,"MICRO, SMALL AND MEDIUM ENTERPRISES",2,1131,108,0.972
SKM,RURAL DEVELOPMENT,1,1389,44,0.972
VCK,AYUSH,4,1138,215,0.971
J&KNC,AGRICULTURE AND FARMERS WELFARE,4,2754,89,0.969
RLD,SOCIAL JUSTICE AND EMPOWERMENT,2,1048,117,0.969
JSP,POWER,3,830,222,0.967
IND.,TOURISM,17,1076,971,0.966
RSP,PETROLEUM AND NATURAL GAS,2,1138,108,0.966
LJSP(RV),RAILWAYS,13,2900,276,0.964
RLP,EARTH SCIENCES,1,425,145,0.964
IUML,COMMERCE AND INDUSTRY,15,1356,682,0.963
DMK,STATISTICS AND PROGRAMME IMPLEMENTATION,18,314,3537,0.962
BJD,ROAD TRANSPORT AND HIGHWAYS,34,2061,1019,0.961
CPI,HOME AFFAIRS,7,1051,412,0.96
BJP,CIVIL AVIATION,787,2129,22881,0.959
BJD,HOUSING AND URBAN AFFAIRS,30,1823,1019,0.959
AAP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",17,1332,790,0.959
AITC,JAL SHAKTI,82,1997,2544,0.958
DMK,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",76,1332,3537,0.958
BJP,SOCIAL JUSTICE AND EMPOWERMENT,386,1048,22881,0.956
TDP,JAL SHAKTI,70,1997,2178,0.956
IUML,HOUSING AND URBAN AFFAIRS,20,1823,682,0.955
BAP,FINANCE,5,2253,138,0.955
NOM.,ATOMIC ENERGY,2,437,285,0.954
NCP,CIVIL AVIATION,7,2129,205,0.952
LJSP(RV),COMMERCE AND INDUSTRY,6,1356,276,0.952
BAP,COMMERCE AND INDUSTRY,3,1356,138,0.952
RLP,SCIENCE AND TECHNOLOGY,1,430,145,0.952
DMK,POWER,47,830,3537,0.951
LJSP(RV),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",8,1809,276,0.951
AGP,YOUTH AFFAIRS AND SPORTS,1,1024,61,0.951
JD(U),SCIENCE AND TECHNOLOGY,7,430,1018,0.95
KC(M),RURAL DEVELOPMENT,3,1389,135,0.95
RJD,TEXTILES,6,699,537,0.949
RLD,MINORITY AFFAIRS,1,535,117,0.949
IUML,AGRICULTURE AND FARMERS WELFARE,30,2754,682,0.948
AAP,ROAD TRANSPORT AND HIGHWAYS,26,2061,790,0.948
DMK,EARTH SCIENCES,24,425,3537,0.948
Unknown,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,2,882,142,0.948
AJSU,NEW AND RENEWABLE ENERGY,1,995,63,0.947
INC,CHEMICALS AND FERTILIZERS,220,1235,11184,0.946
SP,"MICRO, SMALL AND MEDIUM ENTERPRISES",42,1131,2331,0.946
SS,JAL SHAKTI,36,1997,1132,0.946
LJSP(RV),LAW AND JUSTICE,4,911,276,0.945
JD(U),HOME AFFAIRS,17,1051,1018,0.944
AJSU,JAL SHAKTI,2,1997,63,0.944
BJP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",371,1021,22881,0.943
SP,EXTERNAL AFFAIRS,38,1026,2331,0.943
BRS,CIVIL AVIATION,10,2129,296,0.942
NCP(SP),TOURISM,12,1076,704,0.941
BJP,LAW AND JUSTICE,330,911,22881,0.94
YSRCP,NEW AND RENEWABLE ENERGY,20,995,1271,0.939
DMK,WOMEN AND CHILD DEVELOPMENT,71,1271,3537,0.938
AITC,COMMUNICATIONS,45,1120,2544,0.938
RLM,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",1,1809,35,0.938
SHS(UBT),LABOUR AND EMPLOYMENT,17,1570,686,0.937
RLP,ATOMIC ENERGY,1,437,145,0.937
INC,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",180,1021,11184,0.936
INC,PANCHAYATI RAJ,101,573,11184,0.936
BJP,RURAL DEVELOPMENT,500,1389,22881,0.934
MDMK,WOMEN AND CHILD DEVELOPMENT,3,1271,150,0.934
JSP,PANCHAYATI RAJ,2,573,222,0.934
JMM,NEW AND RENEWABLE ENERGY,3,995,192,0.932
IND.,HEALTH AND FAMILY WELFARE,54,3550,971,0.93
SHS(UBT),YOUTH AFFAIRS AND SPORTS,11,1024,686,0.93
ASP (KR),FINANCE,3,2253,85,0.93
JD(S),CIVIL AVIATION,1,2129,30,0.93
AITC,ROAD TRANSPORT AND HIGHWAYS,82,2061,2544,0.929
NCP(SP),JAL SHAKTI,22,1997,704,0.929
JMM,JAL SHAKTI,6,1997,192,0.929
AIMIM,EDUCATION,5,2802,114,0.929
JMM,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",4,1332,192,0.929
INC,YOUTH AFFAIRS AND SPORTS,179,1024,11184,0.928
SS,"MICRO, SMALL AND MEDIUM ENTERPRISES",20,1131,1132,0.928
SHS(UBT),EDUCATION,30,2802,686,0.927
AAP,HEAVY INDUSTRIES,5,406,790,0.926
IND.,RURAL DEVELOPMENT,21,1389,971,0.925
Unknown,COMMERCE AND INDUSTRY,3,1356,142,0.925
BJP,WOMEN AND CHILD DEVELOPMENT,452,1271,22881,0.923
INC,CORPORATE AFFAIRS,128,737,11184,0.922
AIMIM,"MICRO, SMALL AND MEDIUM ENTERPRISES",2,1131,114,0.921
CPI(ML)(L),HEALTH AND FAMILY WELFARE,11,3550,200,0.92
YSRCP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",6,305,1271,0.919
Unknown,HOUSING AND URBAN AFFAIRS,4,1823,142,0.918
BRS,ATOMIC ENERGY,2,437,296,0.918
SHS(UBT),COAL,7,661,686,0.917
LJSP(RV),PLANNING,1,235,276,0.916
SP,STEEL,12,334,2331,0.915
NCP(SP),POWER,9,830,704,0.915
IUML,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",19,1809,682,0.914
NOM.,HOUSING AND URBAN AFFAIRS,8,1823,285,0.914
AGP,CIVIL AVIATION,2,2129,61,0.914
IND.,CORPORATE AFFAIRS,11,737,971,0.913
DMK,ROAD TRANSPORT AND HIGHWAYS,112,2061,3537,0.912
SHS(UBT),AGRICULTURE AND FARMERS WELFARE,29,2754,686,0.912
NCP(SP),RURAL DEVELOPMENT,15,1389,704,0.911
IUML,HOME AFFAIRS,11,1051,682,0.911
RJD,ELECTRONICS AND INFORMATION TECHNOLOGY,8,971,537,0.911
AITC,STEEL,13,334,2544,0.909
SAD,FINANCE,3,2253,87,0.909
SS,WOMEN AND CHILD DEVELOPMENT,22,1271,1132,0.908
JSP,ROAD TRANSPORT AND HIGHWAYS,7,2061,222,0.908
AAP,POWER,10,830,790,0.906
RLP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",4,1809,145,0.906
DMK,STEEL,18,334,3537,0.905
IUML,FOOD PROCESSING INDUSTRIES,8,770,682,0.905
TDP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",60,1809,2178,0.904
NCP(SP),COMMUNICATIONS,12,1120,704,0.904
AIADMK,"MICRO, SMALL AND MEDIUM ENTERPRISES",12,1131,697,0.904
NCP(SP),HEALTH AND FAMILY WELFARE,38,3550,704,0.903
SS,INFORMATION AND BROADCASTING,8,465,1132,0.902
SS,SOCIAL JUSTICE AND EMPOWERMENT,18,1048,1132,0.901
BJP,COMMERCE AND INDUSTRY,470,1356,22881,0.9
CPI(M),AGRICULTURE AND FARMERS WELFARE,46,2754,1102,0.9
RJD,CORPORATE AFFAIRS,6,737,537,0.9
RLP,HOUSING AND URBAN AFFAIRS,4,1823,145,0.899
RLP,LAW AND JUSTICE,2,911,145,0.899
AJSU,SOCIAL JUSTICE AND EMPOWERMENT,1,1048,63,0.899
CPI(ML)(L),COAL,2,661,200,0.898
BJP,AGRICULTURE AND FARMERS WELFARE,952,2754,22881,0.897
AIADMK,CHEMICALS AND FERTILIZERS,13,1235,697,0.897
IND.,FINANCE,33,2253,971,0.896
JD(U),LAW AND JUSTICE,14,911,1018,0.896
CPI(ML)(L),NEW AND RENEWABLE ENERGY,3,995,200,0.895
AITC,PLANNING,9,235,2544,0.894
BRS,LABOUR AND EMPLOYMENT,7,1570,296,0.894
NOM.,TEXTILES,3,699,285,0.894
YSRCP,LABOUR AND EMPLOYMENT,30,1570,1271,0.893
CPI,"MICRO, SMALL AND MEDIUM ENTERPRISES",7,1131,412,0.892
INC,COMMUNICATIONS,188,1120,11184,0.891
SHS(UBT),ELECTRONICS AND INFORMATION TECHNOLOGY,10,971,686,0.891
UPPL,COMMUNICATIONS,2,1120,119,0.891
BJP,ROAD TRANSPORT AND HIGHWAYS,706,2061,22881,0.889
RJD,NEW AND RENEWABLE ENERGY,8,995,537,0.889
J&KNC,FINANCE,3,2253,89,0.888
IUML,LABOUR AND EMPLOYMENT,16,1570,682,0.887
TDP,ROAD TRANSPORT AND HIGHWAYS,67,2061,2178,0.886
LJSP(RV),ELECTRONICS AND INFORMATION TECHNOLOGY,4,971,276,0.886
BJP,ELECTRONICS AND INFORMATION TECHNOLOGY,331,971,22881,0.885
JMM,SOCIAL JUSTICE AND EMPOWERMENT,3,1048,192,0.885
JMM,TEXTILES,2,699,192,0.885
BJP,HEALTH AND FAMILY WELFARE,1209,3550,22881,0.884
DMK,CHEMICALS AND FERTILIZERS,65,1235,3537,0.884
AAP,EARTH SCIENCES,5,425,790,0.884
AITC,SPACE,9,238,2544,0.883
SHS(UBT),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,9,882,686,0.883
LJSP(RV),COOPERATION,3,731,276,0.883
AITC,PETROLEUM AND NATURAL GAS,43,1138,2544,0.882
SS,SPACE,4,238,1132,0.882
INC,TEXTILES,116,699,11184,0.881
AIADMK,RAILWAYS,30,2900,697,0.881
BRS,PETROLEUM AND NATURAL GAS,5,1138,296,0.881
KC(M),JAL SHAKTI,4,1997,135,0.881
BRS,LAW AND JUSTICE,4,911,296,0.881
JSP,LAW AND JUSTICE,3,911,222,0.881
RLP,INFORMATION AND BROADCASTING,1,465,145,0.881
YSRCP,TRIBAL AFFAIRS,15,796,1271,0.88
VCK,LABOUR AND EMPLOYMENT,5,1570,215,0.88
BJP,RAILWAYS,982,2900,22881,0.879
TDP,DEFENCE,6,186,2178,0.879
ASP (KR),TRIBAL AFFAIRS,1,796,85,0.878
INC,"PORTS, SHIPPING AND WATERWAYS",127,769,11184,0.877
BJD,COOPERATION,11,731,1019,0.877
TDP,COMMUNICATIONS,36,1120,2178,0.876
CPI,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",11,1809,412,0.876
LJSP(RV),CORPORATE AFFAIRS,3,737,276,0.876
AJSU,TOURISM,1,1076,63,0.876
IUML,NEW AND RENEWABLE ENERGY,10,995,682,0.875
RJD,AYUSH,9,1138,537,0.875
TDP,HEAVY INDUSTRIES,13,406,2178,0.873
IND.,LAW AND JUSTICE,13,911,971,0.873
NCP(SP),CIVIL AVIATION,22,2129,704,0.872
IUML,TEXTILES,7,699,682,0.872
JMM,CIVIL AVIATION,6,2129,192,0.872
JD(U),AYUSH,17,1138,1018,0.871
SP,NEW AND RENEWABLE ENERGY,34,995,2331,0.87
SHS(UBT),NEW AND RENEWABLE ENERGY,10,995,686,0.87
BJD,PARLIAMENTARY AFFAIRS,1,67,1019,0.87
INC,FOOD PROCESSING INDUSTRIES,126,770,11184,0.869
YSRCP,HEALTH AND FAMILY WELFARE,66,3550,1271,0.869
MDMK,HOUSING AND URBAN AFFAIRS,4,1823,150,0.869
SAD,LABOUR AND EMPLOYMENT,2,1570,87,0.869
AIADMK,ROAD TRANSPORT AND HIGHWAYS,21,2061,697,0.868
BJP,LABOUR AND EMPLOYMENT,524,1570,22881,0.866
SS,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",22,1332,1132,0.866
IND.,WOMEN AND CHILD DEVELOPMENT,18,1271,971,0.866
BJP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",603,1809,22881,0.865
INC,HOUSING AND URBAN AFFAIRS,297,1823,11184,0.865
SP,ROAD TRANSPORT AND HIGHWAYS,70,2061,2331,0.865
BJP,DEFENCE,62,186,22881,0.865
BAP,NEW AND RENEWABLE ENERGY,2,995,138,0.865
AIMIM,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",3,1809,114,0.864
MDMK,AGRICULTURE AND FARMERS WELFARE,6,2754,150,0.862
RJD,FOOD PROCESSING INDUSTRIES,6,770,537,0.862
BAP,JAL SHAKTI,4,1997,138,0.862
AGP,"MICRO, SMALL AND MEDIUM ENTERPRISES",1,1131,61,0.861
JD(U),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,13,882,1018,0.86
SS,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",5,305,1132,0.86
SKM,LABOUR AND EMPLOYMENT,1,1570,44,0.86
TDP,FINANCE,71,2253,2178,0.859
IND.,CULTURE,15,1069,971,0.858
IUML,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",3,305,682,0.856
JMM,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",5,1809,192,0.855
TDP,POWER,26,830,2178,0.854
BRS,PLANNING,1,235,296,0.854
IND.,SCIENCE AND TECHNOLOGY,6,430,971,0.853
AITC,CULTURE,39,1069,2544,0.852
J&KNC,LABOUR AND EMPLOYMENT,2,1570,89,0.85
RLM,JAL SHAKTI,1,1997,35,0.85
INC,CULTURE,171,1069,11184,0.849
SS,HOME AFFAIRS,17,1051,1132,0.848
LJSP(RV),HEALTH AND FAMILY WELFARE,14,3550,276,0.848
SHS(UBT),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",10,1021,686,0.848
CPI(ML)(L),EDUCATION,8,2802,200,0.848
MDMK,EDUCATION,6,2802,150,0.848
RLP,RAILWAYS,6,2900,145,0.847
AITC,SOCIAL JUSTICE AND EMPOWERMENT,38,1048,2544,0.846
LJSP(RV),EDUCATION,11,2802,276,0.845
NCP(SP),TEXTILES,7,699,704,0.845
PMK,CIVIL AVIATION,1,2129,33,0.845
INC,POWER,132,830,11184,0.844
CPI(M),POWER,13,830,1102,0.844
JD(U),POWER,12,830,1018,0.843
